image,x0,y0,x1,y1,line_length_px,band_width_px,cal_um_per_px,freq_cutoff,peak_threshold,peak1_freq,peak1_wavelength,peak1_power,peak2_freq,peak2_wavelength,peak2_power,peak3_freq,peak3_wavelength,peak3_power,mean_intensity,std_intensity,unit
20251214_221838.JPG,1184.2,3660.4,5416.5,3681.2,4232.4,5,1.0,0.05,0.005,0.050567,19.78,6045.4975,0.051749,19.32,7682.5797,0.052457,19.06,7496.6783,,,px
20251214_221838.JPG,1606.9,3420.3,5468.7,3451.6,3862.0,5,1.0,0.05,0.005,0.050233,19.91,4332.1765,0.05101,19.6,19637.067,0.053081,18.84,8605.2686,,,px
20251214_221838.JPG,1633.0,3018.5,4706.8,3034.1,3073.9,5,1.0,0.05,0.005,0.050423,19.83,10994.1057,0.051074,19.58,9763.4158,0.052049,19.21,10892.1369,,,px
20251214_221838.JPG,1899.1,2642.7,4931.2,2580.1,3032.7,5,1.0,0.05,0.005,0.051764,19.32,17316.1082,0.052753,18.96,5128.9998,0.054402,18.38,3333.2761,,,px
20251214_221838.JPG,6105.4,3905.7,7937.2,3900.4,1831.8,5,1.0,0.05,0.005,0.05131,19.49,2218.2746,0.053493,18.69,4482.9227,0.055131,18.14,3017.1893,,,px
20251214_221853.JPG,208.2,4077.9,1914.8,3989.2,1708.8,5,1.0,0.05,0.005,0.050907,19.64,2691.9217,0.052077,19.2,6800.0522,0.055003,18.18,1725.4288,,,px
20251214_221853.JPG,2441.9,3931.7,4936.4,3874.3,2495.2,5,1.0,0.05,0.005,0.0501,19.96,1631.9605,0.051703,19.34,4117.6775,0.053307,18.76,4319.7302,,,px
20251214_221853.JPG,2468.0,3336.8,4435.4,3216.8,1971.1,5,1.0,0.05,0.005,0.050736,19.71,5561.482,0.054287,18.42,2101.9311,0.055302,18.08,3602.6964,,,px
20251214_221853.JPG,2619.3,2611.4,5567.9,2507.0,2950.4,5,1.0,0.05,0.005,0.052203,19.16,5150.9493,0.055254,18.1,6240.8978,0.056271,17.77,4587.0256,,,px
20251214_221853.JPG,218.7,3159.4,1403.3,3128.1,1185.1,5,1.0,0.05,0.005,0.054008,18.52,2515.1978,0.058228,17.17,1607.759,0.064979,15.39,2374.4496,,,px
